Category , URL                                                                                                                                                                                  , Brand                    , Product Name                                                                                 , Ingredients
face-mask, https://www.sephora.com/product/bio-collagen-real-deep-mask-for-pore-minimizing-firming-care-P515952?skuId=2865186&icid2=products%20grid:p515952:product                             , Biodance                 , Bio Collagen Real Deep Mask for Pore Minimizing & Firming Care                               , "-Low-Molecular Weight Collagen: Minimizing the look of pores and increases skin elasticity-Oilgo Hyaluronic Acid: Provides deep hydration.-Galactomyces: Improves skin tone and texture.Water(Aqua), Glycerin, Acrylates Copolymer, Niacinamide, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Dipropylene Glycol, Betaine, Algin, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Caprylyl Glycol, Sucrose, Allantoin, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Galactomyces Ferment Filtrate, Adenosine, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Collagen Extract(52,000ppb), Iris Florentina Root Extract, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Butylene Glycol, Dipotassium Glycyrrhizate, Hydrolyzed Hyaluronic Acid, Lactobacillus Ferment, Bifida Ferment Filtrate, Lactobacillus Ferment Lysate, Tocopherol. -Low-Molecular Weight Collagen: Minimizing the look of pores and increases skin elasticity-Oilgo Hyaluronic Acid: Provides deep hydration.-Galactomyces: Improves skin tone and texture.Water(Aqua), Glycerin, Acrylates Copolymer, Niacinamide, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Dipropylene Glycol, Betaine, Algin, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Caprylyl Glycol, Sucrose, Allantoin, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Galactomyces Ferment Filtrate, Adenosine, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Collagen Extract(52,000ppb), Iris Florentina Root Extract, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Butylene Glycol, Dipotassium Glycyrrhizate, Hydrolyzed Hyaluronic Acid, Lactobacillus Ferment, Bifida Ferment Filtrate, Lactobacillus Ferment Lysate, Tocopherol."
face-mask, https://www.sephora.com/product/sephora-collection-face-masks-fruit-plant-extracts-hydrating-hyaluronic-acid-P505336?skuId=2614394&icid2=products%20grid:p505336:product             , SEPHORA COLLECTION       , Hydrating Hyaluronic Acid Face Masks                                                         , "-Hyaluronic Acid: For quick and lasting hydration.Aqua (Water), Butylene Glycol, Polyglyceryl-6 Stearate, Cocos Nucifera (Coconut) Fruit Extract, Glycerin, 1,2-Hexanediol, Hydroxyacetophenone, Cetearyl Alcohol, Hydrogenated Ethylhexyl Olivate, Citrullus Lanatus (Watermelon) Fruit Extract, Polyglyceryl-6 Behenate, Parfum (Fragrance), Sodium Polyacrylate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Sorbitan Caprylate, Glycolipids, Lecithin, Xanthan Gum, Sodium Hyaluronate, Hydrogenated Olive Oil Unsaponifiables, Cocos Nucifera (Coconut) Oil, O-Cymen-5-Ol, Gardenia Taitensis Flower..The list of ingredients is subject to change, please consult the packaging of the product purchased. -Hyaluronic Acid: For quick and lasting hydration.Aqua (Water), Butylene Glycol, Polyglyceryl-6 Stearate, Cocos Nucifera (Coconut) Fruit Extract, Glycerin, 1,2-Hexanediol, Hydroxyacetophenone, Cetearyl Alcohol, Hydrogenated Ethylhexyl Olivate, Citrullus Lanatus (Watermelon) Fruit Extract, Polyglyceryl-6 Behenate, Parfum (Fragrance), Sodium Polyacrylate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Sorbitan Caprylate, Glycolipids, Lecithin, Xanthan Gum, Sodium Hyaluronate, Hydrogenated Olive Oil Unsaponifiables, Cocos Nucifera (Coconut) Oil, O-Cymen-5-Ol, Gardenia Taitensis Flower..The list of ingredients is subject to change, please consult the packaging of the product purchased."
face-mask, https://www.sephora.com/product/real-deep-mask-gift-set-4-masks-for-pore-care-hydration-calming-dark-spot-treatment-P515950?skuId=2865202&icid2=products%20grid:p515950:product      , Biodance                 , "Real Deep Mask Gift Set - 4 Masks for Pore Care, Hydration, Calming and Dark Spot Treatment", "Bio Collagen Real Deep Mask:Water(Aqua), Glycerin, Acrylates Copolymer, Niacinamide, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Dipropylene Glycol, Betaine, Algin, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Caprylyl Glycol, Sucrose, Allantoin, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Galactomyces Ferment Filtrate, Adenosine, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Collagen Extract(52,000ppb), Iris Florentina Root Extract, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Butylene Glycol, Dipotassium Glycyrrhizate, Hydrolyzed Hyaluronic Acid, Lactobacillus Ferment, Bifida Ferment Filtrate, Lactobacillus Ferment Lysate, Tocopherol.Hydro Cera-nol Real Deep Mask:Water, Dipropylene Glycol, Glycerin, Cetyl Ethylhexanoate, Niacinamide, Xanthan Gum, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus, Betaine, Panthenol, Hydroxyacetophenone, Ethylhexyl Olivate, Butyrospermum Parkii (Shea) Butter, Potassium Chloride, Caprylyl Glycol, Butylene Glycol, Cellulose Gum, 1,2-Hexanediol, Sucrose, Polyacrylate-13, Sodium Acrylates Copolymer, Glyceryl Stearate, Algin, Chondrus Crispus Extract, Glucomannan, Polyglyceryl-4 Oleate, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Hydrogenated Polyisobutene, Adenosine, Pyrus Communis (Pear) Fruit Extract, Disodium EDTA, Polyglyceryl-10 Laurate, Rosa Damascena Flower Water, Ethylhexyl Palmitate, Allantoin, Iris Florentina Root Extract, Sorbitan Isostearate, Cucumis Melo (Melon) Fruit Extract, Hydrogenated Lecithin, Hedera Helix (Ivy) Leaf/Stem Extract, Dextrin, Cetearyl Alcohol, Stearic Acid, Sodium Hyaluronate, Dipotassium Glycyrrhizate, Collagen Extract, Coriandrum Sativum (Coriander) Extract, Foeniculum Vulgare (Fennel) Seed Extract, Elettaria Cardamomum Seed Extract, Crocus Sativus Flower Extract, Hydroxypropyltrimonium Hyaluronate, Ceramide NP, Tocopherol, Ceramide NS, Cholesterol, Sodium Acetylated Hyaluronate, Phytosphingosine, Ceramide AP, Ceramide AS, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Ceramide EOP.Refreshing Sea Kelp Real Deep Mask:Water(Aqua), Lactobacillus/Kelp Ferment Filtrate(100,000ppm), Glycerin, Dipropylene Glycol, Acrylates Copolymer, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus, Sea Water, Betaine, Algin, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Sucrose, Caprylyl Glycol, Laminaria Digitata Water(1,000ppm), Allantoin, Xanthan Gum, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Melia Azadirachta Leaf Extract, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Citric Acid, Rosa Damascena Flower Water, Melia Azadirachta Flower Extract, Iris Florentina Root Extract, Butylene Glycol, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Laminaria Japonica Extract, Dipotassium Glycyrrhizate, Kjellmaniella Gyrata Extract, Centella Asiatica Extract, Bifida Ferment Lysate, Lactose, Lactobacillus Ferment, Spirulina Platensis Extract, Jania Rubens Extract, Tocopherol, Panthenol, Madecassoside.Radiant Vita Niacinamide Real Deep Mask:Water, Ananas Sativus (Pineapple) Fruit Water(100,000 ppm), Glycerin, Acrylates Copolymer, Niacinamide(20,000 ppm), 1,2-Hexanediol, Ceratonia Siliqua (Carob) Gum, Betaine, Chondrus Crispus, Polyglyceryl-10 Laurate, Potassium Chloride, Sucrose, Polyglyceryl-2 Triisostearate, Allantoin, Agar, Cellulose Gum, Ethylhexylglycerin, Butylene Glycol, Adenosine, Pyrus Communis (Pear) Fruit Extract, Sclerotium Gum, Disodium EDTA, Rosa Damascena Flower Water, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Iris Florentina Root Extract, Ananas Sativus (Pineapple) Fruit Extract, Hippophae Rhamnoides Oil, Cucumis Melo (Melon) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Tocopherol, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Gluconolactone, Boron Nitride, Caprylyl Glycol, Hydroxypropyltrimonium Hyaluronate, Glutathione, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate. Bio Collagen Real Deep Mask:Water(Aqua), Glycerin, Acrylates Copolymer, Niacinamide, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Dipropylene Glycol, Betaine, Algin, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Caprylyl Glycol, Sucrose, Allantoin, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Galactomyces Ferment Filtrate, Adenosine, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Collagen Extract(52,000ppb), Iris Florentina Root Extract, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Butylene Glycol, Dipotassium Glycyrrhizate, Hydrolyzed Hyaluronic Acid, Lactobacillus Ferment, Bifida Ferment Filtrate, Lactobacillus Ferment Lysate, Tocopherol.Hydro Cera-nol Real Deep Mask:Water, Dipropylene Glycol, Glycerin, Cetyl Ethylhexanoate, Niacinamide, Xanthan Gum, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus, Betaine, Panthenol, Hydroxyacetophenone, Ethylhexyl Olivate, Butyrospermum Parkii (Shea) Butter, Potassium Chloride, Caprylyl Glycol, Butylene Glycol, Cellulose Gum, 1,2-Hexanediol, Sucrose, Polyacrylate-13, Sodium Acrylates Copolymer, Glyceryl Stearate, Algin, Chondrus Crispus Extract, Glucomannan, Polyglyceryl-4 Oleate, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Hydrogenated Polyisobutene, Adenosine, Pyrus Communis (Pear) Fruit Extract, Disodium EDTA, Polyglyceryl-10 Laurate, Rosa Damascena Flower Water, Ethylhexyl Palmitate, Allantoin, Iris Florentina Root Extract, Sorbitan Isostearate, Cucumis Melo (Melon) Fruit Extract, Hydrogenated Lecithin, Hedera Helix (Ivy) Leaf/Stem Extract, Dextrin, Cetearyl Alcohol, Stearic Acid, Sodium Hyaluronate, Dipotassium Glycyrrhizate, Collagen Extract, Coriandrum Sativum (Coriander) Extract, Foeniculum Vulgare (Fennel) Seed Extract, Elettaria Cardamomum Seed Extract, Crocus Sativus Flower Extract, Hydroxypropyltrimonium Hyaluronate, Ceramide NP, Tocopherol, Ceramide NS, Cholesterol, Sodium Acetylated Hyaluronate, Phytosphingosine, Ceramide AP, Ceramide AS, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Ceramide EOP.Refreshing Sea Kelp Real Deep Mask:Water(Aqua), Lactobacillus/Kelp Ferment Filtrate(100,000ppm), Glycerin, Dipropylene Glycol, Acrylates Copolymer, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus, Sea Water, Betaine, Algin, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Sucrose, Caprylyl Glycol, Laminaria Digitata Water(1,000ppm), Allantoin, Xanthan Gum, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Melia Azadirachta Leaf Extract, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Citric Acid, Rosa Damascena Flower Water, Melia Azadirachta Flower Extract, Iris Florentina Root Extract, Butylene Glycol, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Laminaria Japonica Extract, Dipotassium Glycyrrhizate, Kjellmaniella Gyrata Extract, Centella Asiatica Extract, Bifida Ferment Lysate, Lactose, Lactobacillus Ferment, Spirulina Platensis Extract, Jania Rubens Extract, Tocopherol, Panthenol, Madecassoside.Radiant Vita Niacinamide Real Deep Mask:Water, Ananas Sativus (Pineapple) Fruit Water(100,000 ppm), Glycerin, Acrylates Copolymer, Niacinamide(20,000 ppm), 1,2-Hexanediol, Ceratonia Siliqua (Carob) Gum, Betaine, Chondrus Crispus, Polyglyceryl-10 Laurate, Potassium Chloride, Sucrose, Polyglyceryl-2 Triisostearate, Allantoin, Agar, Cellulose Gum, Ethylhexylglycerin, Butylene Glycol, Adenosine, Pyrus Communis (Pear) Fruit Extract, Sclerotium Gum, Disodium EDTA, Rosa Damascena Flower Water, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Iris Florentina Root Extract, Ananas Sativus (Pineapple) Fruit Extract, Hippophae Rhamnoides Oil, Cucumis Melo (Melon) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Tocopherol, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Gluconolactone, Boron Nitride, Caprylyl Glycol, Hydroxypropyltrimonium Hyaluronate, Glutathione, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate."
face-mask, https://www.sephora.com/product/sephora-collection-nourishing-foot-mask-in-coconut-lavender-P461520?skuId=2707800&icid2=products%20grid:p461520:product                              , SEPHORA COLLECTION       , Nourishing Foot Mask in Coconut + Lavender                                                   , "-Coconut: Rich in fatty acids, helps nourish dry skin.-Lavender: Rich in antioxidants, helps soothe dry skin.Aqua (Water), Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Glyceryl Stearate, Macadamia Integrifolia Seed Oil, Polyglyceryl-3 Methylglucose Distearate, Parfum (Fragrance), Dipropylene Glycol, Stearic Acid, Hydroxyacetophenone, Arginine, Carbomer, Caprylyl Glycol, Allantoin, Ethylhexylglycerin, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Sodium Hyaluronate, Dipotassium Glycyrrhizate, Tocopherol. -Coconut: Rich in fatty acids, helps nourish dry skin.-Lavender: Rich in antioxidants, helps soothe dry skin.Aqua (Water), Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Glyceryl Stearate, Macadamia Integrifolia Seed Oil, Polyglyceryl-3 Methylglucose Distearate, Parfum (Fragrance), Dipropylene Glycol, Stearic Acid, Hydroxyacetophenone, Arginine, Carbomer, Caprylyl Glycol, Allantoin, Ethylhexylglycerin, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Sodium Hyaluronate, Dipotassium Glycyrrhizate, Tocopherol."
face-mask, https://www.sephora.com/product/innisfree-pore-clearing-clay-mask-P468658?skuId=2735777&icid2=products%20grid:p468658:product                                                        , innisfree                , Super Volcanic AHA Pore Clearing Clay Mask                                                   , "-Volcanic Ash Clusters: Absorb excess sebum.-AHA (Lactic Acid): Exfoliates dead skin cells and minimizes the appearance of pores.Water/Aqua/Eau, Butylene Glycol, Titanium Dioxide (CI 77891), Silica, Glycerin, Trehalose, Volcanic Ash, Caprylic/Capric Triglyceride, Polyvinyl Alcohol, Bentonite, Kaolin, Glyceryl Stearate, Cetearyl Alcohol, PVP, 1,2-Hexanediol, PEG-100 Stearate, Polysorbate 60, Palmitic Acid, Stearic Acid, Iron Oxides (CI 77499), Hydrogenated Vegetable Oil, Xanthan Gum, Juglans Regia (Walnut) Shell Powder, Sorbitan Stearate, Zea Mays (Corn) Starch, Polyacrylate-13, Polysorbate 20, Iron Oxides (CI 77492), Mannitol, Microcrystalline Cellulose, Sodium Metaphosphate, Lactic Acid, Lactic Acid/Glycolic Acid Copolymer, Polyisobutene, Iron Oxides (CI 77491), Menthoxypropanediol, Tetrasodium Pyrophosphate, Ethylhexylglycerin, Sorbitan Isostearate, Polyquaternium-10, Lecithin, Tocopherol.The list of ingredients is subject to change, please consult the packaging of the product purchased. -Volcanic Ash Clusters: Absorb excess sebum.-AHA (Lactic Acid): Exfoliates dead skin cells and minimizes the appearance of pores.Water/Aqua/Eau, Butylene Glycol, Titanium Dioxide (CI 77891), Silica, Glycerin, Trehalose, Volcanic Ash, Caprylic/Capric Triglyceride, Polyvinyl Alcohol, Bentonite, Kaolin, Glyceryl Stearate, Cetearyl Alcohol, PVP, 1,2-Hexanediol, PEG-100 Stearate, Polysorbate 60, Palmitic Acid, Stearic Acid, Iron Oxides (CI 77499), Hydrogenated Vegetable Oil, Xanthan Gum, Juglans Regia (Walnut) Shell Powder, Sorbitan Stearate, Zea Mays (Corn) Starch, Polyacrylate-13, Polysorbate 20, Iron Oxides (CI 77492), Mannitol, Microcrystalline Cellulose, Sodium Metaphosphate, Lactic Acid, Lactic Acid/Glycolic Acid Copolymer, Polyisobutene, Iron Oxides (CI 77491), Menthoxypropanediol, Tetrasodium Pyrophosphate, Ethylhexylglycerin, Sorbitan Isostearate, Polyquaternium-10, Lecithin, Tocopherol.The list of ingredients is subject to change, please consult the packaging of the product purchased."
face-mask, https://www.sephora.com/product/glow-recipe-limited-edition-watermelon-sheet-mask-P513895?skuId=2823938&icid2=products%20grid:p513895:product                                        , Glow Recipe              , Watermelon Glow Hydrating & Soothing Jelly Sheet Mask                                        , "-Watermelon Extract: Hydrates, delivers essential vitamins and amino acids, and visibly brightens.-Centella Asiatica: Calms and soothes dry, irritated skin while decreasing the appearance of redness.-Hyaluronic Acid: Holds 1000 times its weight in water to reveal visibly bouncy, plump skin.Water/Aqua/Eau, Glycyrrhiza Glabra Root Extract, Paeonia Suffruticosa Root Extract, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Juice, Sodium Hyaluronate, Centella Asiatica Extract, Polyglutamic Acid, Soy Amino Acids, Bisabolol, Scutellaria Baicalensis Root Extract, Ceratonia Siliqua Gum, Cyamopsis Tetragonoloba Gum, Beta-Glucan, Butylene Glycol, Fructooligosaccharides, Glycine Soja Sterols, Brassica Oleracea Capitata Leaf Extract, Ipomoea Batatas Root Extract, Xanthan Gum, Dextrin, 1,2-Hexanediol, Benzyl Benzoate, Phenoxyethanol, Fragrance/Parfum.The list of ingredients is subject to change. Please consult the packaging of the product purchased. -Watermelon Extract: Hydrates, delivers essential vitamins and amino acids, and visibly brightens.-Centella Asiatica: Calms and soothes dry, irritated skin while decreasing the appearance of redness.-Hyaluronic Acid: Holds 1000 times its weight in water to reveal visibly bouncy, plump skin.Water/Aqua/Eau, Glycyrrhiza Glabra Root Extract, Paeonia Suffruticosa Root Extract, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Juice, Sodium Hyaluronate, Centella Asiatica Extract, Polyglutamic Acid, Soy Amino Acids, Bisabolol, Scutellaria Baicalensis Root Extract, Ceratonia Siliqua Gum, Cyamopsis Tetragonoloba Gum, Beta-Glucan, Butylene Glycol, Fructooligosaccharides, Glycine Soja Sterols, Brassica Oleracea Capitata Leaf Extract, Ipomoea Batatas Root Extract, Xanthan Gum, Dextrin, 1,2-Hexanediol, Benzyl Benzoate, Phenoxyethanol, Fragrance/Parfum.The list of ingredients is subject to change. Please consult the packaging of the product purchased."
face-mask, https://www.sephora.com/product/sephora-collection-booster-eye-mask-brightening-vitamin-c-P512737?skuId=2743318&icid2=products%20grid:p512737:product                                , SEPHORA COLLECTION       , Booster Eye Mask Brightening + Vitamin C                                                     , "- Vitamin C: Visibly brightens skin.- Papaya Extract: Helps reduce appearance of fine lines.Aqua (Water), Butylene Glycol, Glycerin, Ascorbyl Glucoside, 1,2-Hexanediol, Hydroxyacetophenone, Sodium Polyacryloyldimethyl Taurate, Potassium Hydroxide, Polyglyceryl-10 Laurate, Xanthan Gum, Sorbitan Caprylate, Parfum (Fragrance), Lecithin, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Sodium Hyaluronate, Carica Papaya Fruit Extract (Carica Papaya (Papaya) Fruit Extract), Sodium Dilauramidoglutamide Lysine, Passiflora Edulis Fruit Extract, Citric Acid, Sodium Benzoate, Potassium Sorbate, Tocopheryl Acetate.The list of ingredients is subject to change, please consult the packaging of the product purchased. - Vitamin C: Visibly brightens skin.- Papaya Extract: Helps reduce appearance of fine lines.Aqua (Water), Butylene Glycol, Glycerin, Ascorbyl Glucoside, 1,2-Hexanediol, Hydroxyacetophenone, Sodium Polyacryloyldimethyl Taurate, Potassium Hydroxide, Polyglyceryl-10 Laurate, Xanthan Gum, Sorbitan Caprylate, Parfum (Fragrance), Lecithin, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Sodium Hyaluronate, Carica Papaya Fruit Extract (Carica Papaya (Papaya) Fruit Extract), Sodium Dilauramidoglutamide Lysine, Passiflora Edulis Fruit Extract, Citric Acid, Sodium Benzoate, Potassium Sorbate, Tocopheryl Acetate.The list of ingredients is subject to change, please consult the packaging of the product purchased."
face-mask, https://www.sephora.com/product/sephora-collection-purifying-charcoal-nose-pore-strip-P461522?skuId=2707701&icid2=products%20grid:p461522:product                                    , SEPHORA COLLECTION       , Purifying Charcoal Nose Pore Strip                                                           , "-Charcoal Fiber from 100 Percent Bamboo: Known for its high level of minerals and purifying properties.Alcohol Denat., PVP, VP/VA Copolymer, Aqua (Water), CI 77499 (Iron Oxides), Parfum (Fragrance), Glycerin, Charcoal Powder, Caprylic/Capric Triglyceride, Epilobium Fleischeri Extract, Pistacia Lentiscus (Mastic) Gum, Hydrogenated Lecithin, Phenethyl Alcohol, Dipotassium Glycyrrhizate, Citric Acid, Ethylhexylglycerin, Potassium Sorbate.The list of ingredients is subject to change, please consult the packaging of the product purchased. -Charcoal Fiber from 100 Percent Bamboo: Known for its high level of minerals and purifying properties.Alcohol Denat., PVP, VP/VA Copolymer, Aqua (Water), CI 77499 (Iron Oxides), Parfum (Fragrance), Glycerin, Charcoal Powder, Caprylic/Capric Triglyceride, Epilobium Fleischeri Extract, Pistacia Lentiscus (Mastic) Gum, Hydrogenated Lecithin, Phenethyl Alcohol, Dipotassium Glycyrrhizate, Citric Acid, Ethylhexylglycerin, Potassium Sorbate.The list of ingredients is subject to change, please consult the packaging of the product purchased."
face-mask, https://www.sephora.com/product/sephora-collection-hydrating-hand-mask-in-coconut-mango-P461521?skuId=2707776&icid2=products%20grid:p461521:product                                  , SEPHORA COLLECTION       , Hydrating Hand Mask in Coconut + Mango                                                       , "-Coconut Extract: Nourishes and hydrates.-Mango Extract: Contains rich fatty acids and cares for dry skin.Aqua (Water), Glycerin, Butylene Glycol, Pentaerythrityl Tetraethylhexanoate, Cetearyl Alcohol, Macadamia Integrifolia Seed Oil, Glyceryl Stearate, Mangifera Indica (Mango) Seed Butter, 1,2-Hexanediol, Hydroxyacetophenone, PEG-100 Stearate, Parfum (Fragrance), Arginine, Carbomer, Caprylic/Capric Triglyceride, Sodium Hyaluronate, Xanthan Gum, Undaria Pinnatifida Extract, Tocopherol. -Coconut Extract: Nourishes and hydrates.-Mango Extract: Contains rich fatty acids and cares for dry skin.Aqua (Water), Glycerin, Butylene Glycol, Pentaerythrityl Tetraethylhexanoate, Cetearyl Alcohol, Macadamia Integrifolia Seed Oil, Glyceryl Stearate, Mangifera Indica (Mango) Seed Butter, 1,2-Hexanediol, Hydroxyacetophenone, PEG-100 Stearate, Parfum (Fragrance), Arginine, Carbomer, Caprylic/Capric Triglyceride, Sodium Hyaluronate, Xanthan Gum, Undaria Pinnatifida Extract, Tocopherol."
face-mask, https://www.sephora.com/product/yuja-brightening-sleeping-mask-with-vitamin-c-niacinamide-P516436?skuId=2876829&icid2=products%20grid:p516436:product                                , Hanyul                   , Yuja Brightening Sleeping Mask with Vitamin C and Niacinamide                                , "-Yuja C Vegan Vitamin™ (Vitamin C, Vitamin P, and Yuja Peel Oil) and Vitamin A: Brighten, moisturize, visibly smooth skin texture, and visibly firm.-Niacinamide (Vitamin B3) 2% and Ascorbic Acid: Visibly brighten and even tone.-Five Types of Hyaluronic Acid, Panthenol (Vitamin B5), and Vitamin E: Intensely hydrate and nourish.Water/Aqua/Eau, Butylene Glycol, Glycerin, Methyl Trimethicone, Pentaerythrityl Tetraethylhexanoate, Citrus Junos Fruit Water, Betaine, Niacinamide, Alcohol Denat., 1,2-Hexanediol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Behenyl Alcohol, Panthenol, Jojoba Esters, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Helianthus Annuus (Sunflower) Seed Oil, Limonene, Citrus Junos Seed Oil, Maltodextrin, Tromethamine, Citrus Junos Peel Oil, Xanthan Gum, Glyceryl Caprylate, Daucus Carota Sativa (Carrot) Root Extract, Ethylhexylglycerin, Sodium Metaphosphate, Geraniol, Adenosine, Sorbitan Isostearate, Citrus Junos Fruit Extract, Bioflavonoids, Linalool, Ascorbic Acid, Thymol Trimethoxycinnamate, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment, Poncirus Trifoliata Fruit Extract, Beta-Carotene, Farnesol, Cymbopogon Martini Oil, Tocopherol, Propanediol, Melatonin, Citrus Junos Peel Extract, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Sodium Acetylated Hyaluronate. -Yuja C Vegan Vitamin™ (Vitamin C, Vitamin P, and Yuja Peel Oil) and Vitamin A: Brighten, moisturize, visibly smooth skin texture, and visibly firm.-Niacinamide (Vitamin B3) 2% and Ascorbic Acid: Visibly brighten and even tone.-Five Types of Hyaluronic Acid, Panthenol (Vitamin B5), and Vitamin E: Intensely hydrate and nourish.Water/Aqua/Eau, Butylene Glycol, Glycerin, Methyl Trimethicone, Pentaerythrityl Tetraethylhexanoate, Citrus Junos Fruit Water, Betaine, Niacinamide, Alcohol Denat., 1,2-Hexanediol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Behenyl Alcohol, Panthenol, Jojoba Esters, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Helianthus Annuus (Sunflower) Seed Oil, Limonene, Citrus Junos Seed Oil, Maltodextrin, Tromethamine, Citrus Junos Peel Oil, Xanthan Gum, Glyceryl Caprylate, Daucus Carota Sativa (Carrot) Root Extract, Ethylhexylglycerin, Sodium Metaphosphate, Geraniol, Adenosine, Sorbitan Isostearate, Citrus Junos Fruit Extract, Bioflavonoids, Linalool, Ascorbic Acid, Thymol Trimethoxycinnamate, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment, Poncirus Trifoliata Fruit Extract, Beta-Carotene, Farnesol, Cymbopogon Martini Oil, Tocopherol, Propanediol, Melatonin, Citrus Junos Peel Extract, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Sodium Acetylated Hyaluronate."
