Category         , URL                                                                                                                                                                                       , Brand                      , Product Name                                                                   , Ingredients
lip-balm-lip-care, https://www.sephora.com/product/summer-fridays-lip-butter-balm-P455936?skuId=2862480&icid2=products%20grid:p455936:product                                                                , Summer Fridays             , Lip Butter Balm Treatment for Hydration + Nourishing Shine                     , "-Vegan Oil Complex: Delivers a surge of deep moisture for softer, more supple lips.-Plant-Based Collagen: Designed to nourish and replenish, enhance and maintain moisture.-Vitamin E: Works to protect, nourish, and soften dryness-prone lips.Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Polyisobutene, Polybutene, Hydrogenated Poly(C6-14 Olefin), Butyrospermum Parkii (Shea) Butter, Microcrystalline Wax/Cera Microcristallina/Cire microcristalline, Octyldodecanol, Synthetic Wax, Disteardimonium Hectorite, Astrocaryum Murumuru Seed Butter, Sodium Hyaluronate, Tocopherol, Vanillin, Propylene Carbonate, Polyglyceryl-2 Diisostearate, Aluminum Hydroxide, Ricinus Communis (Castor) Seed Oil, Stevia Rebaudiana Extract, Flavor/Aroma, Mica, BHT, Citral, Linalool, Limonene, Iron Oxides (CI 77491, CI 77499), Titanium Dioxide (CI 77891), Red 28 Lake (CI 45410), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140). -Vegan Oil Complex: Delivers a surge of deep moisture for softer, more supple lips.-Plant-Based Collagen: Designed to nourish and replenish, enhance and maintain moisture.-Vitamin E: Works to protect, nourish, and soften dryness-prone lips.Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Polyisobutene, Polybutene, Hydrogenated Poly(C6-14 Olefin), Butyrospermum Parkii (Shea) Butter, Microcrystalline Wax/Cera Microcristallina/Cire microcristalline, Octyldodecanol, Synthetic Wax, Disteardimonium Hectorite, Astrocaryum Murumuru Seed Butter, Sodium Hyaluronate, Tocopherol, Vanillin, Propylene Carbonate, Polyglyceryl-2 Diisostearate, Aluminum Hydroxide, Ricinus Communis (Castor) Seed Oil, Stevia Rebaudiana Extract, Flavor/Aroma, Mica, BHT, Citral, Linalool, Limonene, Iron Oxides (CI 77491, CI 77499), Titanium Dioxide (CI 77891), Red 28 Lake (CI 45410), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140)."
lip-balm-lip-care, https://www.sephora.com/product/lip-sleeping-mask-P420652?skuId=1966258&icid2=products%20grid:p420652:product                                                                             , LANEIGE                    , Lip Sleeping Mask Intense Hydration with Vitamin C                             , "'DIISOSTEARYL MALATE, HYDROGENATED POLYISOBUTENE, PHYTO- STERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE, HYDROGENATED POLY(C6-14 OLEFIN), POLYBUTENE, MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA / CIRE MICROCRI STALLINE, BUTYROSPERMUM PARKII (SHEA) BUTTER, SYNTHETIC WAX, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, SUCROSE TETRASTEARATE TRIACETATE, MICA, EUPHORBIA CERIFERA (CANDELILLA) WAX / CANDELILLA CERA HYDROCARBONS / CIRE DE CANDELILLA, CANDELILLA WAX ESTERS, ASTROCARYUM MURUMURU SEED BUTTER, TITANIUM DIOXIDE (CI 77891), FRAGRANCE / PARFUM, GLYCERYL CAPRYLATE, POLYGLYCERYL-2 DIISOSTEARATE, BUTYLENE/ETHYLENE/STYRENE COPOLYMER, COPERNICIA CERIFERA (CARNAUBA) WAX / COPERNICIA CERIFERA CERA / CIRE DE CARNAUBA, METHICONE, POLYGLYCERYL-2 TRIISOSTEARATE, COCOS NUCIFERA (COCONUT) OIL, YELLOW 6 LAKE (CI 15985), PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, RED 6 (CI 15850), ASCORBIC ACID, WATER / AQUA / EAU, GLYCERIN, PROPANEDIOL, BHT, PUNICA GRANATUM FRUIT JUICE, RUBUS IDAEUS (RASPBERRY) JUICE, VITIS VINIFERA (GRAPE) JUICE 'DIISOSTEARYL MALATE, HYDROGENATED POLYISOBUTENE, PHYTO- STERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE, HYDROGENATED POLY(C6-14 OLEFIN), POLYBUTENE, MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA / CIRE MICROCRI STALLINE, BUTYROSPERMUM PARKII (SHEA) BUTTER, SYNTHETIC WAX, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, SUCROSE TETRASTEARATE TRIACETATE, MICA, EUPHORBIA CERIFERA (CANDELILLA) WAX / CANDELILLA CERA HYDROCARBONS / CIRE DE CANDELILLA, CANDELILLA WAX ESTERS, ASTROCARYUM MURUMURU SEED BUTTER, TITANIUM DIOXIDE (CI 77891), FRAGRANCE / PARFUM, GLYCERYL CAPRYLATE, POLYGLYCERYL-2 DIISOSTEARATE, BUTYLENE/ETHYLENE/STYRENE COPOLYMER, COPERNICIA CERIFERA (CARNAUBA) WAX / COPERNICIA CERIFERA CERA / CIRE DE CARNAUBA, METHICONE, POLYGLYCERYL-2 TRIISOSTEARATE, COCOS NUCIFERA (COCONUT) OIL, YELLOW 6 LAKE (CI 15985), PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, RED 6 (CI 15850), ASCORBIC ACID, WATER / AQUA / EAU, GLYCERIN, PROPANEDIOL, BHT, PUNICA GRANATUM FRUIT JUICE, RUBUS IDAEUS (RASPBERRY) JUICE, VITIS VINIFERA (GRAPE) JUICE"
lip-balm-lip-care, https://www.sephora.com/product/glowy-lip-balm-P443563?skuId=2743060&icid2=products%20grid:p443563:product                                                                                , LANEIGE                    , Lip Glowy Lightweight Hydration Balm with Shea Butter                          , "-Shea and Murumuru Seed Butters: Moisturize and nourish.Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Phytosteryl Isostearyl Dimer Dilinoleate, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Sucrose Tetrastearate Triacetate, Ethylene/Propylene/Styrene Copolymer, Mica, Euphorbia Cerifera (Candelilla) Wax / Euphorbia Cerifera Cera / Cire De Candelilla, Astrocaryum Murumuru Seed Butter, Synthetic Wax, Fragrance / Parfum, Candelilla Wax Esters, Butylene/Ethylene/Styrene Copolymer, Methicone, Dehydroacetic Acid, Polyglyceryl-2 Triisostearate, Red 7 Lake (Ci 15850), Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire De Carnauba, Red 6 (Ci 15850), Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol, Water / Aqua / Eau, Propanediol, Lycium Chinense Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Coffea Arabica (Coffee) Seed Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Phenoxyethanol. -Shea and Murumuru Seed Butters: Moisturize and nourish.Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Phytosteryl Isostearyl Dimer Dilinoleate, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Sucrose Tetrastearate Triacetate, Ethylene/Propylene/Styrene Copolymer, Mica, Euphorbia Cerifera (Candelilla) Wax / Euphorbia Cerifera Cera / Cire De Candelilla, Astrocaryum Murumuru Seed Butter, Synthetic Wax, Fragrance / Parfum, Candelilla Wax Esters, Butylene/Ethylene/Styrene Copolymer, Methicone, Dehydroacetic Acid, Polyglyceryl-2 Triisostearate, Red 7 Lake (Ci 15850), Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire De Carnauba, Red 6 (Ci 15850), Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol, Water / Aqua / Eau, Propanediol, Lycium Chinense Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Coffea Arabica (Coffee) Seed Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Phenoxyethanol."
lip-balm-lip-care, https://www.sephora.com/product/pout-preserve-peptide-lip-treatment-P503878?skuId=2648467&icid2=products%20grid:p503878:product                                                           , OLEHENRIKSEN               , Pout Preserve Hydrating Peptide Lip Treatment                                  , "-Lip-specific Peptides: Makes lips look more defined and fuller.-Kokum and Mango Seed Butter: Soothe, nourish, and condition lips.-Cloudberry Oil: Provides intense moisture and visibly softens lips.Polybutene,  Hydrogenated  Polydecene,  Bis-Diglyceryl  Polyacyladipate-2, Hydrogenated   Styrene/Isoprene   Copolymer,   Cera   Microcristallina/Microcrystalline Wax/Cire  Microcristalline,  Silica,  Rubus  Chamaemorus  Seed  Oil,  Garcinia  Indica  Seed Butter, Euterpe   Oleracea   Sterols,   Palmitoyl   Hexapeptide-12,   Palmitoyl   Tripeptide-1, Tocopheryl  Acetate,  Tocopherol,  Irvingia  Gabonensiskernel  Butter,  Citrus  Aurantium Dulcis  (Orange)  Peel  Oil,  Citrus  Aurantium  Dulcis  (Orange)  Peel  Wax,  Citrus  Aurantium Dulcis   (Orange)   Fruit   Extract,   Linoleic   Acid,   Linolenic   Acid,   Oleic   Acid,   Lactic   Acid, Helianthus Annuus (Sunflower) Seed Oil, Caprylic/Capric Triglyceride, Cera Carnauba/Copernicia  Cerifera  (Carnauba)  Wax/Cire  De  Carnauba,  Hydrogenated  Coco-Glycerides,   Sorbitan   Isostearate,   Pentaerythrityl   Tetraisostearate,   Pentaerythrityl Tetra-Di-T-Butyl     Hydroxyhydrocinnamate,     Octyldodecanol,     Ethylhexyl     Palmitate, Dicalcium   Phosphate,   Tribehenin,   Propylene   Carbonate,   Stearalkonium   Hectorite, Parfum/Fragrance,  Citral,  Limonene,  Linalool,  Iron  Oxides  (Ci  77491,  Ci  77492),  Titanium Dioxide (Ci 77891)..The list of ingredients is subject to change, please consult the packaging of the product purchased. -Lip-specific Peptides: Makes lips look more defined and fuller.-Kokum and Mango Seed Butter: Soothe, nourish, and condition lips.-Cloudberry Oil: Provides intense moisture and visibly softens lips.Polybutene,  Hydrogenated  Polydecene,  Bis-Diglyceryl  Polyacyladipate-2, Hydrogenated   Styrene/Isoprene   Copolymer,   Cera   Microcristallina/Microcrystalline Wax/Cire  Microcristalline,  Silica,  Rubus  Chamaemorus  Seed  Oil,  Garcinia  Indica  Seed Butter, Euterpe   Oleracea   Sterols,   Palmitoyl   Hexapeptide-12,   Palmitoyl   Tripeptide-1, Tocopheryl  Acetate,  Tocopherol,  Irvingia  Gabonensiskernel  Butter,  Citrus  Aurantium Dulcis  (Orange)  Peel  Oil,  Citrus  Aurantium  Dulcis  (Orange)  Peel  Wax,  Citrus  Aurantium Dulcis   (Orange)   Fruit   Extract,   Linoleic   Acid,   Linolenic   Acid,   Oleic   Acid,   Lactic   Acid, Helianthus Annuus (Sunflower) Seed Oil, Caprylic/Capric Triglyceride, Cera Carnauba/Copernicia  Cerifera  (Carnauba)  Wax/Cire  De  Carnauba,  Hydrogenated  Coco-Glycerides,   Sorbitan   Isostearate,   Pentaerythrityl   Tetraisostearate,   Pentaerythrityl Tetra-Di-T-Butyl     Hydroxyhydrocinnamate,     Octyldodecanol,     Ethylhexyl     Palmitate, Dicalcium   Phosphate,   Tribehenin,   Propylene   Carbonate,   Stearalkonium   Hectorite, Parfum/Fragrance,  Citral,  Limonene,  Linalool,  Iron  Oxides  (Ci  77491,  Ci  77492),  Titanium Dioxide (Ci 77891)..The list of ingredients is subject to change, please consult the packaging of the product purchased."
lip-balm-lip-care, https://www.sephora.com/product/glaze-craze-tinted-polypeptide-lip-serum-P515527?skuId=2842441&icid2=products%20grid:p515527:product                                                      , LANEIGE                    , Glaze Craze Tinted Polypeptide Lip Serum                                       , "-Polypeptide: Volumizes.-Argan Ceramides: Nourish and support the lip moisture barrier.-Polyglutamic Acid (PGA): Retains and attracts moisture.Diisostearyl Malate, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Octyldodecanol, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Synthetic Wax, Polyglyceryl-2 Triisostearate, Titanium Dioxide (CI 77891), Fragrance/Parfum, Punica Granatum Seed Oil, Iron Oxides (CI 77491), Silica Dimethyl Silylate, Iron Oxides (CI 77499), Iron Oxides (CI 77492), Cinnamal, Water/Aqua/Eau, Red 7 Lake (CI 15850), Tocopherol, Squalane, Ceramide NP, Glycine Max (Soybean) Polypeptide, Triethoxycaprylylsilane, 1,2-Hexanediol, Propylene Glycol, Butylene Glycol, Polyglutamic Acid, Sodium Hyaluronate, Ethylhexylglycerin. -Polypeptide: Volumizes.-Argan Ceramides: Nourish and support the lip moisture barrier.-Polyglutamic Acid (PGA): Retains and attracts moisture.Diisostearyl Malate, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Octyldodecanol, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Synthetic Wax, Polyglyceryl-2 Triisostearate, Titanium Dioxide (CI 77891), Fragrance/Parfum, Punica Granatum Seed Oil, Iron Oxides (CI 77491), Silica Dimethyl Silylate, Iron Oxides (CI 77499), Iron Oxides (CI 77492), Cinnamal, Water/Aqua/Eau, Red 7 Lake (CI 15850), Tocopherol, Squalane, Ceramide NP, Glycine Max (Soybean) Polypeptide, Triethoxycaprylylsilane, 1,2-Hexanediol, Propylene Glycol, Butylene Glycol, Polyglutamic Acid, Sodium Hyaluronate, Ethylhexylglycerin."
lip-balm-lip-care, https://www.sephora.com/product/glow-gloss-lip-balm-spf-40-vanilla-soft-serve-P516839?skuId=2871598&icid2=products%20grid:p516839:product                                                 , Supergoop!                 , Glow Gloss SPF 40 Lip Balm with Peptides and Shea Butter                       , "Hydrogenated Poly(C6-14 Olefin), Hydrogenated Styrene/Isoprene Copolymer, Butyloctyl Salicylate, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, C18-38 Alkyl Hydroxystearoyl Stearate, Synthetic Wax, Flavour, Triisostearyl Citrate, Octyldodecanol, d-alpha Tocopherol, Cetearyl Ethylhexanoate, Simmondsia Chinensis (Jojoba) Seed Oil, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Bisabolol, Hydrogenated Styrene/Butadiene Copolymer, Stevia Rebaudiana Leaf/Stem Extract, Sorbitan Isostearate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Portulaca Pilosa Extract, Citric Acid, Sucrose Cocoate, Sorbitan Oleate, Palmitoyl Tripeptide-38 +/- CI 45410, CI 77891, D&C Red No. 7, Iron Oxide Yellow. Hydrogenated Poly(C6-14 Olefin), Hydrogenated Styrene/Isoprene Copolymer, Butyloctyl Salicylate, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, C18-38 Alkyl Hydroxystearoyl Stearate, Synthetic Wax, Flavour, Triisostearyl Citrate, Octyldodecanol, d-alpha Tocopherol, Cetearyl Ethylhexanoate, Simmondsia Chinensis (Jojoba) Seed Oil, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Bisabolol, Hydrogenated Styrene/Butadiene Copolymer, Stevia Rebaudiana Leaf/Stem Extract, Sorbitan Isostearate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Portulaca Pilosa Extract, Citric Acid, Sucrose Cocoate, Sorbitan Oleate, Palmitoyl Tripeptide-38 +/- CI 45410, CI 77891, D&C Red No. 7, Iron Oxide Yellow."
lip-balm-lip-care, https://www.sephora.com/product/glossier-balm-dotcom-lip-balm-skin-salve-P512013?skuId=2839397&icid2=products%20grid:p512013:product                                                      , Glossier                   , Balm Dotcom Lip Balm and Skin Salve                                            , "-Castor Seed Oil: A natural plant extract that keeps moisture locked in.-Beeswax: A natural emollient which acts as a moisture barrier.-Lanolin: A natural emollient that’s good for sensitive skin.Petrolatum, Ricinus Communis (Castor) Seed Oil, Beeswax/Cera Alba/Cire d’Abeille, Lanolin, Flavor/Aroma, Theobroma Grandiflorum Seed Butter, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopheryl Acetate, Tocopherol, BHT, Stevia Rebaudiana Leaf/Stem Extract, Iron Oxides (CI 77491), Red 7 Lake (CI 15850), Red 27 Lake (CI 45410), Red 30 Lake (CI 73360), Blue 1 Lake (CI 42090). -Castor Seed Oil: A natural plant extract that keeps moisture locked in.-Beeswax: A natural emollient which acts as a moisture barrier.-Lanolin: A natural emollient that’s good for sensitive skin.Petrolatum, Ricinus Communis (Castor) Seed Oil, Beeswax/Cera Alba/Cire d’Abeille, Lanolin, Flavor/Aroma, Theobroma Grandiflorum Seed Butter, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopheryl Acetate, Tocopherol, BHT, Stevia Rebaudiana Leaf/Stem Extract, Iron Oxides (CI 77491), Red 7 Lake (CI 15850), Red 27 Lake (CI 45410), Red 30 Lake (CI 73360), Blue 1 Lake (CI 42090)."
lip-balm-lip-care, https://www.sephora.com/product/glow-recipe-glass-balm-lip-treatment-for-shine-and-hydration-P515960?skuId=2874329&icid2=products%20grid:p515960:product                                  , Glow Recipe                , Glass Balm Lip Treatment for Shine & Hydration                                 , "-Hyaluronic Microspheres: Flood lips with hydration, visibly filling and plumping lines.-Glycerin: Is rich in fatty acids, intensely hydrates, and protects against moisture loss.-Kakadu Plum and Raspberry Extract: Support collagen production and deliver antioxidants that nourish and protect.Polybutene, Hydrogenated Polyisobutene, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Diisostearyl Malate, Caprylic/Capric Triglyceride, Synthetic Wax, Hydrogenated Styrene/Isoprene Copolymer, Sucrose Tetrastearate Triacetate, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax, Tribehenin, Sodium Hyaluronate, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Terminalia Ferdinandiana Fruit Extract, Rubus Idaeus (Raspberry) Leaf Extract, Prunus Salicina Fruit Extract, Dextrin Palmitate, Polyglyceryl-2 Diisostearate, Polyglyceryl-2 Triisostearate, Ethylhexyl Palmitate, Dehydroacetic Acid, Hydrogenated Styrene/Butadiene Copolymer, Sorbitan Sesquioleate, Water/Aqua/Eau, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Stevia Rebaudiana Extract, Fragrance/Parfum, CI 77891, CI 15985, CI 15850, CI 77499.The list of ingredients is subject to change. Please consult the packaging of the product purchased. -Hyaluronic Microspheres: Flood lips with hydration, visibly filling and plumping lines.-Glycerin: Is rich in fatty acids, intensely hydrates, and protects against moisture loss.-Kakadu Plum and Raspberry Extract: Support collagen production and deliver antioxidants that nourish and protect.Polybutene, Hydrogenated Polyisobutene, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Diisostearyl Malate, Caprylic/Capric Triglyceride, Synthetic Wax, Hydrogenated Styrene/Isoprene Copolymer, Sucrose Tetrastearate Triacetate, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax, Tribehenin, Sodium Hyaluronate, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Terminalia Ferdinandiana Fruit Extract, Rubus Idaeus (Raspberry) Leaf Extract, Prunus Salicina Fruit Extract, Dextrin Palmitate, Polyglyceryl-2 Diisostearate, Polyglyceryl-2 Triisostearate, Ethylhexyl Palmitate, Dehydroacetic Acid, Hydrogenated Styrene/Butadiene Copolymer, Sorbitan Sesquioleate, Water/Aqua/Eau, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Stevia Rebaudiana Extract, Fragrance/Parfum, CI 77891, CI 15985, CI 15850, CI 77499.The list of ingredients is subject to change. Please consult the packaging of the product purchased."
lip-balm-lip-care, https://www.sephora.com/product/sheen-screen-spf-50-hydrating-sunscreen-lip-balm-P516212?skuId=2853802&icid2=products%20grid:p516212:product                                              , Ultra Violette             , Sheen Screen SPF 50 Hydrating Sunscreen Lip Balm                               , "- SPF 50 UVA and UVB: Broad-spectrum UV filters that prevents the look of hyperpigmentation and premature aging.- Sustainable Lanolin: Highly moisturizing to restore and nourish cracked and chapped lips.- Cocoa Butter and Vitamin E: Provide plumping hydration, forming a protective barrier on lips.Avobenzone 3%, Octinoxate 5%, Octocrylene 4.7%, Lanolin, Theobroma Cacao (Cocoa) Seed Butter, Cera Alba, Ricinus Communis (Castor) Seed Oil, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Flavour, Caprylic/Capric Triglyceride, Mica, Tocopherol, Myrothamnus Flabellifolia Leaf/Stem Extract, Titanium Dioxide (CI 77891), Iron Oxide Red (CI 77491), CI 15850:1. - SPF 50 UVA and UVB: Broad-spectrum UV filters that prevents the look of hyperpigmentation and premature aging.- Sustainable Lanolin: Highly moisturizing to restore and nourish cracked and chapped lips.- Cocoa Butter and Vitamin E: Provide plumping hydration, forming a protective barrier on lips.Avobenzone 3%, Octinoxate 5%, Octocrylene 4.7%, Lanolin, Theobroma Cacao (Cocoa) Seed Butter, Cera Alba, Ricinus Communis (Castor) Seed Oil, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Flavour, Caprylic/Capric Triglyceride, Mica, Tocopherol, Myrothamnus Flabellifolia Leaf/Stem Extract, Titanium Dioxide (CI 77891), Iron Oxide Red (CI 77491), CI 15850:1."
lip-balm-lip-care, https://www.sephora.com/product/shineon-lip-jelly-P448854?skuId=2549970&icid2=products%20grid:p448854:product                                                                             , Tower 28 Beauty            , ShineOn Lip Jelly Hydrating Non-Sticky Lip Oil                                 , "Highlighted Ingredients:- Apricot Kernel Oil: Nurtures and soothes lips.- Raspberry Seed Oil: Protects lips against damage from free radicals and environmental aggressors.- Rosehip Oil: Contains vitamins A and E while promoting cell repair and regeneration.Polybutene, Hydrogenated Polyisobutene, Hydrogenated Polybutene, Prunus Armeniaca (Apricot) Kernel Oil, Ethylene/Propylene/Styrene Copolymer, Octyldodecanol, Silica Dimethyl Silylate, Ricinus Communis (Castor) Seed Oil, Persea Gratissima (Avocado) Oil, Rosa Canina Seed Oil, Rubus Idaeus (Raspberry) Seed Oil, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Butylene/Ehtylene/Styrene Copolymer, Aroma/Flavor, Caprylyl Glycol, Ethylhexylglycerin, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, MAY CONTAIN (+/-): Iron Oxides (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499), Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850).The list of ingredients is subject to change, please consult the packaging of the product purchased. Highlighted Ingredients:- Apricot Kernel Oil: Nurtures and soothes lips.- Raspberry Seed Oil: Protects lips against damage from free radicals and environmental aggressors.- Rosehip Oil: Contains vitamins A and E while promoting cell repair and regeneration.Polybutene, Hydrogenated Polyisobutene, Hydrogenated Polybutene, Prunus Armeniaca (Apricot) Kernel Oil, Ethylene/Propylene/Styrene Copolymer, Octyldodecanol, Silica Dimethyl Silylate, Ricinus Communis (Castor) Seed Oil, Persea Gratissima (Avocado) Oil, Rosa Canina Seed Oil, Rubus Idaeus (Raspberry) Seed Oil, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Butylene/Ehtylene/Styrene Copolymer, Aroma/Flavor, Caprylyl Glycol, Ethylhexylglycerin, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, MAY CONTAIN (+/-): Iron Oxides (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499), Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850).The list of ingredients is subject to change, please consult the packaging of the product purchased."
